Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeValueScore,ReplacementDifficulty,FinancialLoss,AttritionProbability,CriticalityScore,CriticalityLevel,ActionPriority,Recommendations
42,2,188,1,29,3,3,2,1,56,1,2,2,4,2,4272,9558,4,0,19,3,1,0,16,3,3,1,0,0,0,87.272,93,125632,0.4762166641360076,4855.821787193095,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
37,2,571,1,10,1,1,4,0,82,3,1,6,1,0,2782,19905,0,1,13,3,2,2,6,3,2,5,3,4,3,87.782,63,516692,0.1775016024935025,5072.009245485445,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Reduce overtime workload', 'Consider salary adjustment']"
27,2,1054,1,8,3,3,3,0,67,3,1,6,4,2,3445,6152,1,0,11,3,3,0,6,5,2,6,2,1,4,91.445,68,620670,0.0492718658721888,1901.641471933008,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
38,2,1404,2,1,3,1,1,1,59,2,1,8,1,2,2858,11473,4,0,14,3,1,0,20,3,2,1,0,0,0,75.858,85,117148,0.5658755733289236,4274.409634682269,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
36,0,301,2,15,4,2,4,1,88,1,2,7,4,0,5406,10436,1,0,24,4,1,1,15,4,2,15,12,11,11,150.406,160,1532436,0.0749362799227763,27635.009584805124,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Increase employee engagement', 'Provide promotion opportunity']"
27,2,618,1,4,3,1,2,0,76,3,1,6,3,2,2318,17808,1,0,19,3,3,0,1,2,3,1,1,0,0,75.318,28,113908,0.1331015766483297,319.7379874643568,Low,Monitor,"['Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
40,2,1416,1,2,2,3,1,1,49,3,5,5,3,0,19436,5949,0,0,19,3,4,1,22,5,3,21,7,3,9,192.436,271,2216616,0.0007884197095732,911.3885082443468,Low,Monitor,['Improve work environment']
44,2,935,1,3,3,1,1,1,89,3,1,2,1,1,2362,14669,4,0,12,3,3,0,10,4,4,3,2,1,2,81.362,65,314172,0.1470422004298223,2443.1179928626348,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
34,2,1351,1,1,4,1,2,1,45,3,2,6,4,1,5484,13008,9,0,17,3,2,1,9,3,2,2,2,2,1,91.484,77,232904,0.1249706758433952,2050.316639526594,Low,Monitor,"['Provide flexible work policy', 'Improve work environment']"
36,2,559,1,12,4,1,3,0,76,3,2,4,3,1,4663,12421,9,1,12,3,2,2,7,2,3,3,2,1,1,93.663,76,327978,0.504965714923011,11789.30658528876,Low,Monitor,"['Reduce overtime workload', 'Consider salary adjustment']"
28,2,1451,1,2,1,1,1,1,67,2,1,6,2,1,3201,19911,0,0,17,3,1,0,6,2,1,5,3,0,4,88.201,63,519206,0.2570933825789949,7417.279754497054,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
56,2,206,0,8,4,1,4,1,99,3,5,3,2,2,19717,4022,6,0,14,3,1,0,36,4,3,7,3,7,7,150.71699999999998,243,818302,0.0048026102984872,1439.3270089787843,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Provide promotion opportunity']"
35,0,1097,1,11,2,3,3,1,79,2,3,0,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,111.884,110,459304,0.4502734830212756,25452.89987562691,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Increase employee engagement', 'Reduce overtime workload']"
40,2,329,1,1,4,1,2,1,88,3,1,2,2,1,2387,6762,3,0,22,4,3,1,7,3,3,4,2,0,3,104.387,61,414322,0.0896207285233138,2364.4096101633286,Low,Monitor,"['Improve job satisfaction', 'Improve work environment', 'Consider salary adjustment']"
41,2,263,1,6,3,3,4,1,59,3,1,2,1,2,4721,3119,2,1,13,3,3,0,20,3,3,18,13,2,17,128.721,170,1828326,0.0422344774634713,16897.36895424822,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
30,2,921,1,1,3,1,4,1,38,1,1,2,3,1,3833,24375,3,0,21,4,3,2,7,2,3,2,2,0,2,99.833,51,222998,0.0851131829049286,966.3670151085504,Low,Monitor,"['Increase employee engagement', 'Consider salary adjustment']"
46,1,1034,1,18,1,3,1,0,86,3,3,0,3,1,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2,106.527,154,263162,0.0417057049127517,1800.5246103643535,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment']"
30,1,721,1,1,2,3,3,0,58,3,2,2,4,2,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,140.011,136,1224066,0.0162858717389595,3795.918776523308,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
35,2,819,1,2,3,1,3,1,44,2,3,4,2,0,10274,19588,2,0,18,3,2,1,15,2,4,7,7,6,4,121.274,140,761644,0.0220724622087207,2854.292951145645,Low,Monitor,"['Improve job satisfaction', 'Increase employee engagement', 'Provide promotion opportunity']"
38,2,1380,1,9,2,1,3,0,75,3,1,2,4,2,2288,6319,1,0,12,3,3,0,2,3,3,2,2,2,1,78.288,36,213728,0.0683814705832521,411.9054680735487,Low,Monitor,"['Offer stock incentives', 'Consider salary adjustment']"
38,2,268,1,2,5,3,4,1,92,3,1,6,3,1,3057,20471,6,1,13,3,2,1,6,0,1,1,0,0,1,76.057,43,118342,0.5476652079829476,2119.6380318101124,Low,Monitor,"['Provide flexible work policy', 'Reduce overtime workload', 'Consider salary adjustment']"
44,2,136,1,28,3,1,4,1,32,3,4,5,1,1,16328,22074,3,0,13,3,3,1,24,1,4,20,6,14,17,176.328,252,2097968,0.0292515141465567,27268.988790927484,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Provide promotion opportunity']"
27,2,728,2,23,1,3,2,0,36,2,2,8,3,1,3540,7018,1,0,21,4,4,1,9,5,3,9,8,5,8,130.54,112,921240,0.0810838015444148,10921.15371182276,Low,Monitor,"['Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
28,1,193,1,2,3,1,4,1,52,2,1,2,4,1,3867,14222,1,1,12,3,2,1,2,2,3,2,2,2,2,79.867,36,223202,0.4501037333505533,2888.55452166857,Low,Monitor,"['Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
42,2,691,2,8,4,2,3,1,48,3,2,7,2,1,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,113.825,115,940950,0.0520206219035634,6407.337281177463,Low,Monitor,['Improve job satisfaction']
32,1,585,1,10,3,1,1,1,56,3,1,6,3,1,3433,17360,6,0,13,3,1,1,10,3,2,5,2,1,3,88.43299999999999,75,520598,0.3524942179278366,12171.107954211371,Low,Monitor,"['Provide flexible work policy', 'Improve work environment', 'Consider salary adjustment']"
26,2,950,2,4,4,2,4,1,48,2,2,7,4,2,5828,8450,1,1,12,3,2,0,8,0,3,8,7,7,4,109.828,104,834968,0.6368293179122166,60735.036221088376,Critical,Immediate Action,"['Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Provide promotion opportunity']"
29,1,461,1,1,3,1,4,1,70,4,2,0,3,2,6294,23060,8,1,12,3,4,0,10,5,4,3,2,0,2,95.294,85,337764,0.2658180672698169,7272.47668916175,Low,Monitor,"['Offer stock incentives', 'Reduce overtime workload']"
31,0,587,2,2,4,1,4,0,57,3,3,7,3,0,9852,8935,1,1,19,3,1,1,10,5,2,10,8,9,6,129.852,140,1059112,0.1363124859596498,26245.461009313512,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Reduce overtime workload', 'Provide promotion opportunity']"
41,2,1356,2,20,2,2,2,0,70,3,1,8,2,2,3140,21728,1,1,22,4,4,0,4,5,2,4,3,0,2,105.14,52,418840,0.4750435189127738,10878.09543355306,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
50,1,1421,1,2,3,3,4,0,30,3,4,3,1,1,17856,9490,2,0,22,4,3,1,32,3,3,2,2,2,2,143.856,186,307136,0.001586367668549,130.36934947775586,Low,Monitor,['Improve job satisfaction']
33,2,527,1,1,4,4,4,1,63,3,1,6,4,2,2686,5207,1,1,13,3,3,0,10,2,2,10,9,7,8,102.686,100,1016116,0.1547159148161343,16143.195874048264,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment', 'Provide promotion opportunity']"
47,2,1454,2,2,4,1,4,0,65,2,1,8,4,2,3294,13137,1,1,18,3,1,0,3,3,2,3,2,1,2,82.294,44,319764,0.2792867800805984,3233.7079604644387,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
41,2,933,1,9,4,1,3,1,94,3,1,2,1,1,2238,6961,2,0,21,4,4,1,7,2,3,5,0,1,4,107.238,66,513428,0.0838556521554885,3047.2250620544414,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
31,2,1276,1,2,1,3,4,0,59,1,1,2,4,0,1129,17536,1,1,11,3,3,3,1,4,3,1,0,0,0,74.129,28,106774,0.1152444193260046,255.40629056282265,Low,Monitor,"['Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
40,2,658,2,10,4,2,1,1,67,2,3,7,2,0,9705,20652,2,0,12,3,2,1,11,2,2,1,0,0,0,102.705,98,158230,0.2622583582011775,4176.72449025506,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Increase employee engagement', 'Improve work environment']"
35,2,755,1,9,4,1,3,1,97,2,2,0,2,2,6540,19394,9,0,19,3,3,0,10,5,3,1,1,0,0,89.54,75,139240,0.3791588879100447,3545.3866809744923,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement']"
35,1,200,1,18,2,1,3,1,60,3,3,4,4,2,9362,19944,2,0,11,3,3,0,10,2,3,2,2,2,2,105.362,100,256172,0.0949153135312595,2561.8397000252835,Low,Monitor,['Offer stock incentives']
55,2,282,1,2,2,3,4,0,58,1,5,3,3,1,19187,6992,4,0,14,3,4,1,23,5,3,19,9,9,11,186.187,264,2015122,0.0027665217606101,2740.240723224307,Low,Monitor,"['Increase employee engagement', 'Provide promotion opportunity']"
58,2,1055,1,1,3,3,4,0,76,3,5,5,1,1,19701,22456,3,1,21,4,3,1,32,3,3,9,8,1,5,176.701,241,1018206,0.002183163163196,946.6248403319096,Low,Monitor,"['Improve job satisfaction', 'Reduce overtime workload']"
37,2,1192,1,5,2,3,4,1,61,3,2,4,4,0,6347,23177,7,0,16,3,3,2,8,2,2,6,2,0,4,104.347,94,638082,0.01372482624579,858.9960558110432,Low,Monitor,['Provide flexible work policy']
21,2,996,1,3,2,3,4,1,100,2,1,6,3,2,3230,10531,1,0,17,3,1,0,3,4,4,3,2,1,0,82.23,44,319380,0.1138509481082246,1315.610511949165,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Consider salary adjustment']"
31,2,106,0,2,3,0,1,1,62,2,2,1,1,1,6410,17822,3,0,12,3,4,0,9,1,3,2,2,1,0,92.41,77,238460,0.3090910632789328,5244.591703029732,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment']"
41,0,906,1,5,2,1,1,1,95,2,1,6,1,0,2107,20293,6,0,17,3,1,1,5,2,1,1,0,0,0,75.107,40,112642,0.5499761216063235,1861.163786259796,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
36,1,1467,2,11,2,5,2,0,92,3,3,7,4,1,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,126.738,135,958428,0.0042861628776613,702.8599243123655,Low,Monitor,['Improve work environment']
32,2,371,2,19,3,1,4,1,80,1,3,7,3,1,9610,3840,3,0,13,3,3,1,10,2,1,4,3,0,2,111.61,110,457660,0.259758882410228,14595.169958957027,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Increase employee engagement']"
39,1,443,1,8,1,1,3,0,48,3,1,2,3,1,3755,17872,1,0,11,3,1,1,8,3,3,8,3,0,7,97.755,84,822530,0.0352684281841959,2382.0787658711915,Low,Monitor,['Consider salary adjustment']
22,2,1256,1,19,1,3,3,1,80,3,1,6,4,1,2323,11992,1,0,24,4,1,2,2,6,3,2,2,2,2,98.323,36,213938,0.0480548269047433,363.9004315622463,Low,Monitor,['Consider salary adjustment']
43,2,982,1,12,3,1,1,1,59,2,4,5,2,0,14336,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,189.336,280,2586016,0.009922408327778,13603.151406451268,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Increase employee engagement', 'Improve work environment']"
34,2,1326,2,3,3,4,4,1,81,1,2,7,1,2,4759,15891,3,0,18,3,4,0,15,2,3,13,9,3,12,123.759,150,1328554,0.04842799597498,11943.834020598224,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement', 'Consider salary adjustment']"
28,2,1083,1,29,1,1,3,1,96,1,2,4,2,1,6549,3173,1,0,14,3,2,2,8,2,2,8,6,1,7,110.549,104,839294,0.1429728548121911,13796.085117408102,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Provide flexible work policy', 'Increase employee engagement']"
26,2,683,1,2,1,3,1,1,36,2,1,6,4,2,3904,4050,0,0,12,3,4,0,5,2,3,4,3,1,1,85.904,55,423424,0.1654681455382171,3310.2892697483157,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment']"
42,2,532,1,4,2,5,3,1,58,3,5,3,4,1,19232,4933,1,0,11,3,4,0,22,3,3,22,17,11,15,195.232,276,2315392,0.0011806644727237,1473.0283619450993,Low,Monitor,"['Offer stock incentives', 'Provide promotion opportunity']"
34,1,426,1,10,4,1,3,1,42,4,2,4,4,0,4724,17000,1,0,13,3,1,1,9,3,3,9,7,7,2,111.724,112,928344,0.0428997038669703,4983.422721184877,Low,Monitor,"['Consider salary adjustment', 'Provide promotion opportunity']"
56,2,441,1,14,4,1,2,0,72,3,1,6,2,1,4963,4510,9,1,18,3,1,3,7,2,3,5,4,4,3,89.963,66,529778,0.4036164835249873,12696.110065890858,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
29,2,1092,1,1,4,3,1,1,36,3,1,6,4,1,4787,26124,9,1,14,3,2,3,4,3,4,2,2,2,2,80.787,42,228722,0.4054785608372332,3146.781641212629,Low,Monitor,"['Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
40,2,1202,1,2,1,3,2,0,89,4,2,0,3,0,6377,13888,5,0,20,4,2,3,15,0,3,12,11,11,8,142.377,145,1238262,0.0160652332675793,4106.83657663613,Low,Monitor,"['Improve work environment', 'Provide promotion opportunity']"
24,2,693,2,3,2,1,1,0,65,3,2,7,3,2,4577,24785,9,0,14,3,1,0,4,3,3,2,2,2,0,90.577,62,227462,0.7805327557576671,9970.331737434632,Low,Monitor,"['Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
36,2,335,2,17,2,2,3,1,33,2,2,7,2,1,5507,16822,2,0,16,3,3,2,12,1,1,4,2,1,3,97.507,96,433042,0.2428314637519763,9843.32909697812,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Increase employee engagement']"
43,1,775,2,15,3,1,4,1,47,2,2,7,4,1,6804,23683,3,0,18,3,3,1,7,5,3,2,2,2,2,92.804,71,240824,0.0432870613210343,686.8832295430888,Low,Monitor,['Increase employee engagement']
50,1,1246,0,3,3,3,1,1,99,3,5,3,2,1,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7,224.2,356,3309200,0.008162226770915,21558.43736959523,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Improve work environment', 'Provide promotion opportunity']"
34,2,699,1,6,1,3,2,1,83,3,1,6,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,84.96,64,417760,0.2007712815920559,4560.609876734307,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
42,0,179,0,2,5,3,4,1,79,4,2,1,1,1,6272,12858,7,0,16,3,1,1,10,3,4,4,3,0,3,98.272,90,437632,0.0218819723908654,846.9696346362471,Low,Monitor,['Improve job satisfaction']
42,1,933,1,19,3,3,3,1,57,4,1,6,3,0,2759,20366,6,1,12,3,4,0,7,2,3,2,2,2,2,78.759,51,216554,0.2378513465622282,2068.91283513099,Low,Monitor,"['Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
30,2,330,0,1,3,1,3,1,46,3,1,1,3,0,2064,15428,0,0,21,4,1,1,6,3,4,5,3,1,3,107.064,63,512384,0.0198532344298843,686.1370089432144,Low,Monitor,['Consider salary adjustment']
51,2,1323,1,4,4,1,1,1,34,3,1,6,3,1,2461,10332,9,1,12,3,3,3,18,2,4,10,0,2,7,102.461,124,1014766,0.1518383498777959,19576.16687051094,Medium,Review Within 30 Days,"['Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
39,0,1251,2,21,4,1,1,0,32,1,2,7,3,1,5736,3987,6,0,19,3,3,1,10,1,3,3,2,1,2,94.736,85,334416,0.4170759025994217,11231.45743850602,Low,Monitor,"['Increase employee engagement', 'Improve work environment']"
37,2,1373,1,2,2,4,4,1,92,2,1,2,3,2,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,72.09,41,12540,0.5330661273245727,197.5775090227446,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
31,1,1327,1,3,4,3,2,1,73,3,3,5,3,0,13675,13523,9,0,12,3,1,1,9,3,3,2,2,2,2,109.675,97,282050,0.0891786024631835,2675.8769807738554,Low,Monitor,['Improve work environment']
27,2,155,1,4,3,1,2,1,87,4,2,4,2,1,6142,5174,1,1,20,4,2,1,6,0,3,6,2,0,3,124.142,88,636852,0.3994574730543823,27791.403349022246,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Improve work environment', 'Reduce overtime workload']"
41,2,1411,1,19,2,1,3,1,36,3,2,6,1,0,3072,19877,2,0,16,3,1,2,17,2,2,1,0,0,0,86.072,96,118432,0.0519061950717472,507.9504922281773,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Consider salary adjustment']"
47,1,1309,2,4,1,3,2,1,99,3,2,8,3,2,2976,25751,3,0,19,3,1,0,5,3,3,0,0,0,0,82.976,55,17856,0.1319334289451171,107.51132437203349,Low,Monitor,"['Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
38,2,1035,2,3,4,1,2,1,42,3,2,7,4,2,6861,4981,8,1,12,3,3,0,19,1,3,1,0,0,0,89.861,102,141166,0.6043673545009765,7819.923876659242,Low,Monitor,"['Offer stock incentives', 'Improve work environment', 'Reduce overtime workload']"
26,1,575,1,3,1,5,3,1,73,3,1,6,1,2,3102,6582,0,0,22,4,3,0,7,2,3,6,4,0,4,111.102,71,618612,0.083583050504433,4078.6532349454337,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Consider salary adjustment']"
41,2,314,0,1,3,0,4,1,59,2,5,3,3,1,19189,19562,1,0,12,3,2,1,22,3,3,22,7,2,10,195.189,276,2315134,0.0015356700285199,1915.30729357174,Low,Monitor,['Increase employee engagement']
30,1,109,1,5,3,3,2,0,60,3,1,2,2,2,2422,25725,0,0,17,3,1,0,4,3,3,3,2,1,2,81.422,47,314532,0.281661186732533,3390.247974050016,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
36,2,1403,1,6,3,1,4,1,47,3,1,2,4,1,3210,20251,0,0,11,3,3,1,16,4,3,15,13,10,11,118.21,143,1519260,0.0062870984439048,1614.628518747304,Low,Monitor,"['Consider salary adjustment', 'Provide promotion opportunity']"
50,1,959,2,1,4,4,4,1,81,3,2,7,3,2,4728,17251,3,1,14,3,4,0,5,4,3,0,0,0,0,84.728,55,28368,0.174109071330802,230.16525356532227,Low,Monitor,"['Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
24,2,691,1,23,3,3,2,1,89,4,1,6,4,1,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,90.725,68,616350,0.2029975199757114,7718.875250014676,Low,Monitor,"['Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
31,2,140,1,12,1,3,3,0,95,3,1,6,4,1,3929,6984,8,1,23,4,3,1,7,0,3,4,2,0,2,105.929,61,423574,0.3936175558676894,10773.29276420185,Low,Monitor,"['Reduce overtime workload', 'Consider salary adjustment']"
36,2,530,2,2,4,1,3,0,51,3,2,8,4,2,4502,7439,3,0,15,3,3,0,17,2,2,13,7,6,7,123.502,156,1327012,0.0677043623822872,17309.72194178397,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment', 'Provide promotion opportunity']"
52,0,585,2,29,4,1,1,1,40,3,1,8,4,0,3482,19788,2,0,15,3,2,2,16,3,2,9,8,0,0,100.482,113,920892,0.0635188049945564,6641.676728612268,Low,Monitor,"['Provide flexible work policy', 'Improve work environment', 'Consider salary adjustment']"
29,2,896,1,18,1,3,3,1,86,2,1,6,4,2,2389,14961,1,1,13,3,3,0,4,3,2,4,3,0,1,84.389,52,414334,0.5421694363811926,9857.681644853692,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
34,1,829,1,15,3,3,2,1,71,3,4,5,1,0,17007,11929,7,0,14,3,4,2,16,3,2,14,8,6,9,159.007,198,1502042,0.0331600586631749,15681.182194853433,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Provide flexible work policy', 'Improve work environment', 'Provide promotion opportunity']"
32,2,977,1,2,3,3,4,1,45,3,2,6,2,0,5470,25518,0,0,13,3,3,2,10,4,2,9,5,1,6,112.47,115,932820,0.0053453888029217,644.9286704663106,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy']"
28,2,1217,1,1,3,3,3,0,67,3,1,6,1,1,3591,12719,1,0,25,4,3,1,3,3,3,3,2,1,2,102.591,44,321546,0.0408255776715277,592.566901168371,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
59,2,142,1,3,3,1,3,1,70,2,1,6,4,1,2177,8456,3,0,17,3,1,1,7,6,3,1,0,0,0,75.177,46,113062,0.0275011313191347,107.5251472530059,Low,Monitor,"['Increase employee engagement', 'Consider salary adjustment']"
46,2,228,2,3,3,1,3,0,51,3,4,3,2,1,16606,11380,8,0,12,3,4,1,23,2,4,13,12,5,1,155.606,214,1399636,0.0315424589216444,14701.13151718295,Medium,Review Within 30 Days,['Improve job satisfaction']
26,2,482,1,1,2,1,2,0,90,2,1,6,3,1,2933,14908,1,1,13,3,3,1,1,3,2,1,0,1,0,75.93299999999999,28,117598,0.5650147612767958,1412.6947126736366,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement', 'Improve work environment', 'Reduce overtime workload', 'Consider salary adjustment']"
35,1,880,2,12,4,4,4,1,36,3,2,7,4,2,4581,10414,3,1,24,4,1,0,13,2,4,11,9,6,7,137.581,134,1127486,0.2693251055642178,55982.36697781315,Critical,Immediate Action,"['Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment', 'Provide promotion opportunity']"
33,2,832,1,5,4,1,3,0,63,2,1,6,4,1,2911,14776,1,0,13,3,3,1,2,2,2,2,2,0,2,78.911,36,217466,0.0526678115415539,325.36938538145927,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement', 'Consider salary adjustment']"
44,2,625,1,4,3,3,4,1,50,3,2,0,2,2,5933,5197,9,0,12,3,4,0,10,2,2,5,2,2,3,100.933,95,535598,0.2447028114269365,12567.089059354608,Medium,Review Within 30 Days,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives']"
51,2,684,1,6,3,1,1,1,51,3,5,5,3,2,19537,6462,7,0,13,3,3,0,23,5,3,20,18,15,15,189.537,269,2117222,0.0141693593955577,15295.472460104776,Medium,Review Within 30 Days,"['Offer stock incentives', 'Improve work environment', 'Provide promotion opportunity']"
40,0,218,1,8,1,3,4,1,55,2,3,5,2,0,13757,25178,2,0,11,3,3,1,16,5,3,9,8,4,8,130.757,153,982542,0.0061444897334036,1207.795272859045,Low,Monitor,"['Improve job satisfaction', 'Increase employee engagement']"
39,2,141,0,3,3,0,3,0,44,4,2,1,2,1,6389,18767,9,0,15,3,3,1,12,3,1,8,3,3,6,110.389,116,838334,0.0642519808322946,6897.431395813665,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy']"
48,1,708,2,7,2,3,4,0,95,3,1,8,3,1,2655,11740,2,1,11,3,3,2,19,3,3,9,7,7,7,99.655,122,915930,0.0468867597416347,5221.213215491044,Low,Monitor,"['Reduce overtime workload', 'Consider salary adjustment', 'Provide promotion opportunity']"
31,1,715,2,2,4,4,4,1,54,3,2,7,1,2,5332,21602,7,0,13,3,4,0,10,3,3,5,2,0,3,100.332,95,531992,0.2153134743873566,10917.90686476269,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives']"
37,2,309,2,10,4,1,4,0,88,2,2,7,4,0,6694,24223,2,1,14,3,3,3,8,5,3,1,0,0,0,89.694,69,140164,0.0790236400605775,685.4976915073361,Low,Monitor,"['Increase employee engagement', 'Reduce overtime workload']"
28,2,1144,2,10,1,3,4,1,74,3,1,8,2,1,1052,23384,1,0,22,4,2,0,1,5,3,1,0,0,0,94.052,28,106312,0.1570794373889457,439.772118855686,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Consider salary adjustment']"
19,2,419,2,21,3,4,4,1,37,2,1,8,2,2,2121,9947,1,1,13,3,2,0,1,3,4,1,0,0,0,75.121,28,112726,0.891426837605079,2113.631114553129,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
37,1,663,1,11,3,4,2,1,47,3,3,5,4,0,12185,10056,1,1,14,3,3,3,10,1,3,10,8,0,7,132.185,140,1073110,0.0140810660427794,2796.340085949987,Low,Monitor,"['Improve work environment', 'Reduce overtime workload']"
25,2,266,1,1,3,3,4,0,40,3,1,6,2,2,2096,18830,1,0,18,3,4,0,2,3,2,2,2,2,1,78.096,36,212576,0.1101500638184967,658.3097312375987,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Consider salary adjustment']"
41,2,427,0,10,4,0,2,1,73,2,5,3,4,0,19141,8861,3,0,15,3,2,3,23,2,2,21,6,12,6,192.141,274,2214846,0.0156108759203223,18202.93490806587,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Increase employee engagement', 'Improve work environment', 'Provide promotion opportunity']"
